IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1999,42.99
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2000,43.82
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2006,54.1
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2011,57.74
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1998,41.92
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2005,50.59
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2016,61.22
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2021,63.66
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1997,40.51
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2010,57.56
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2020,61.86
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1996,39.27
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2004,49.28
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2015,59.02
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1995,39.17
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2003,47.83
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2009,57.91
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2014,58.67
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2019,61.63
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1993,38.53
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1994,38.68
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2002,46.23
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2008,57.1
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1992,37.39
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2001,44.22
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2013,58.11
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2018,61.05
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1990,33.47
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,1991,36.13
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2007,56.32
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2012,57.78
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2017,60.67
217795A,Density of doctors,COUNTRY,300,Greece,YEAR,2022,65.76
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1999,31.27
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2011,41.23
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2021,57.11
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1998,31.06
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2005,35.02
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2010,39.82
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2016,49.3
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1997,30.49
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2004,34.17
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2015,47.48
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2020,55.76
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1996,30.08
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2009,38.58
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2019,54.22
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1994,28.96
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1995,29.29
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2003,33.42
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2014,45.62
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1993,28.77
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2002,32.91
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2008,37.52
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2013,43.99
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2018,52.76
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1991,28.43
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1992,28.64
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2001,32.58
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2007,36.57
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2012,42.41
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2022,58.51
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,1990,28.05
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2000,32.07
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2006,35.72
217795A,Density of doctors,COUNTRY,620,Portugal,YEAR,2017,51.03
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1999,29.66
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2011,38.88
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2016,42.33
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2021,44.08
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1998,29.19
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2005,34.54
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2010,38.08
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2020,43.22
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1997,28.54
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2004,33.73
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2015,41.74
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1995,28.17
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1996,28.38
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2009,37.49
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2014,41.09
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2019,42.88
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1994,36.56
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2003,32.83
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2008,36.81
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1993,35.66
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2002,32.12
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2013,40.43
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2018,43.22
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1991,33.61
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1992,34.68
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2001,31.21
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2007,36.25
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2012,39.67
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,1990,32.49
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2000,30.26
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2006,35.43
217795A,Density of doctors,COUNTRY,752,Sweden,YEAR,2017,42.69
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1999,30.19
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2011,38.14
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2016,38.03
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2021,44.57
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1998,28.95
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2005,35.21
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2010,37.37
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2020,45.46
