IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2004,35.31
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2003,35.47
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2002,35.27
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2001,31.76
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2000,29.65
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,1999,28.57
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2010,36.84
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2015,34.49
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2019,36.48
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2009,35.95
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2014,34.74
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2018,36.3
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2008,35.01
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2013,35.36
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2022,41.14
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2007,34.61
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2012,35.81
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2017,35.71
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2006,34.76
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2021,40.34
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2005,35.67
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2011,37.06
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2016,35.01
5C8435F,Density of nurses and midwives,COUNTRY,300,Greece,YEAR,2020,39.27
5C8435F,Density of nurses and midwives,COUNTRY,620,Portugal,YEAR,2003,41.94
5C8435F,Density of nurses and midwives,COUNTRY,620,Portugal,YEAR,2002,40.14
